image_path,overlay_path,img_name,accepted,contour_version,brain_area_px,brain_perim_px,midline_area_left_px,midline_area_right_px,midline_perimeter_left_px,midline_perimeter_right_px,non_complete_contour,hipp_area_left_px,hipp_area_right_px,hipp_perimeter_left_px,hipp_perimeter_right_px,sex,dose
D:/data/input/TB_P28/Males/X05/TileScan 020_X05_1.tif,D:/data/output/TileScan 020_X05_1__hippocampus_overlay.png,TileScan 020_X05_1.tif,ok,single,5641266,12123.49289,2842099,2787297,6153.843378,6248.093159,FALSE,557128,575948,3790.954529,3940.746378,M,sal
D:/data/input/TB_P28/Males/X05/TileScan 021_X05_2.tif,D:/data/output/TileScan 021_X05_2__hippocampus_overlay.png,TileScan 021_X05_2.tif,ok,single,5711321,11745.10811,2858928,2842063,5915.328659,5861.093159,FALSE,711628,712344,4302.670258,4426.084472,M,sal
D:/data/input/TB_P28/Males/X05/TileScan 022_X05_3.tif,D:/data/output/TileScan 022_X05_3__hippocampus_overlay.png,TileScan 022_X05_3.tif,ok,single,5696421,11895.67665,2874792,2812275,5806.086018,6133.975409,FALSE,800844,805660,4667.907847,4762.351498,M,sal
D:/data/input/TB_P28/Males/X05/TileScan 023_X05_4.tif,D:/data/output/TileScan 023_X05_4__hippocampus_overlay.png,TileScan 023_X05_4.tif,ok,single,5706106,18442.38921,2735768,2805566,8266.814275,10824.51815,FALSE,895928,877952,5173.547456,5185.530211,M,sal
D:/data/input/TB_P28/Males/X05/TileScan 024_X05_5.tif,D:/data/output/TileScan 024_X05_5__hippocampus_overlay.png,TileScan 024_X05_5.tif,ok,single,5541041,18897.34549,2840426,2560192,11127.58921,8247.05988,FALSE,961924,945540,5479.270325,5475.738362,M,sal
D:/data/input/TB_P28/Males/Y05/TileScan 006_Y05_1.tif,D:/data/output/TileScan 006_Y05_1__hippocampus_overlay.png,TileScan 006_Y05_1.tif,ok,single,5537433,12229.60053,2802649,2734784,6899.31559,6562.078002,FALSE,630052,530444,3990.167732,3750.285482,M,lps
D:/data/input/TB_P28/Males/Y05/TileScan 007_Y05_2.tif,D:/data/output/TileScan 007_Y05_2__hippocampus_overlay.png,TileScan 007_Y05_2.tif,ok,single,5459403,11636.43192,2741219,2702489,6459.193664,6103.72354,FALSE,718660,633996,4345.682451,4054.871269,M,lps
D:/data/input/TB_P28/Males/Y05/TileScan 009_Y05_4.tif,D:/data/output/TileScan 009_Y05_4__hippocampus_overlay.png,TileScan 009_Y05_4.tif,ok,single,5686601,12453.90919,2852739,2822728,6814.617106,6037.181471,FALSE,902432,823828,5172.625664,4801.848971,M,lps
D:/data/input/TB_P28/Males/Y05/TileScan 008_Y05_3.tif,D:/data/output/TileScan 008_Y05_3__hippocampus_overlay.png,TileScan 008_Y05_3.tif,ok,single,5605488,13175.00168,2831988,2773500,7271.607001,6791.759241,FALSE,819396,744760,4836.961669,4410.937284,M,lps
D:/data/input/TB_P28/Males/Y05/TileScan 010_Y05_5.tif,D:/data/output/TileScan 010_Y05_5__hippocampus_overlay.png,TileScan 010_Y05_5.tif,ok,single,5801522,14480.27793,2922226,2785260,8688.191911,6215.039336,FALSE,974936,896920,5419.939372,5178.902794,M,lps
D:/data/input/TB_P28/Males/Z03/TileScan 011_Z03_1.tif,D:/data/output/TileScan 011_Z03_1__hippocampus_overlay.png,TileScan 011_Z03_1.tif,ok,single,5450212,11372.47355,2688373,2751538,5757.044388,5615.429164,FALSE,436780,526204,3313.46716,3828.143347,M,sal
D:/data/input/TB_P28/Males/Z03/TileScan 012_Z03_2.tif,D:/data/output/TileScan 012_Z03_2__hippocampus_overlay.png,TileScan 012_Z03_2.tif,ok,single,5449258,12049.33351,2679237,2758253,6471.568335,5629.8068,FALSE,537600,643960,3810.888514,4148.042842,M,sal
D:/data/input/TB_P28/Males/Z03/TileScan 013_Z03_3.tif,D:/data/output/TileScan 013_Z03_3__hippocampus_overlay.png,TileScan 013_Z03_3.tif,ok,single,5650621,13103.4037,2787729,2853118,6497.372377,6896.825256,FALSE,665408,777328,5519.738362,4811.103805,M,sal
D:/data/input/TB_P28/Males/Z03/TileScan 014_Z03_4.tif,D:/data/output/TileScan 014_Z03_4__hippocampus_overlay.png,TileScan 014_Z03_4.tif,ok,single,5660197,12316.06857,2777111,2870340,5754.475847,6899.741996,FALSE,751324,856628,4684.008352,5568.223643,M,sal
D:/data/input/TB_P28/Males/Z03/TileScan 015_Z03_5.tif,D:/data/output/TileScan 015_Z03_5__hippocampus_overlay.png,TileScan 015_Z03_5.tif,ok,single,5640363,12859.59757,2750799,2877436,5910.735732,7847.410167,FALSE,813764,945628,4934.133242,5662.750554,M,sal
/Users/kseniialavrova/Documents/projects/HISTOLOGY/input/TB_P28/Males/I04/I04_2_TileScan_001_Merging_Crop_ch00.tif,/Users/kseniialavrova/PycharmProjects/HMT/data/output/I04_2_TileScan_001_Merging_Crop_ch00__hippocampus_overlay.png,I04_2_TileScan_001_Merging_Crop_ch00.tif,ok,single,5514813,15043.58464,2731482,2765660,7710.92216,7617.192875,FALSE,781280,738976,6051.319096,5584.97595,M,lps
